"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Acanthastrea",5.79,4.74,7.13
"Indo-Pacific","Acropora",30.97,25.22,37.17
"Indo-Pacific","Acropora (branching)",42.05,33.89,50.96
"Indo-Pacific","Acropora (tabulate)",19.89,16.55,23.39
"Indo-Pacific","Astrea",11.52,9.07,14.33
"Indo-Pacific","Astreopora",10.28,7.93,12.95
"Indo-Pacific","Bare Rock",0,0,0
"Indo-Pacific","CCA (crustose coralline algae)",0.93,0.73,1.14
"Indo-Pacific","CCA growing on rubble",0.93,0.73,1.14
"Indo-Pacific","CRED-Acanthastrea spp",5.79,4.74,7.13
"Indo-Pacific","CRED-Acropora spp_branching",42.05,33.89,50.96
"Indo-Pacific","CRED-Acropora spp_tabulate",19.89,16.55,23.39
"Indo-Pacific","CRED-Astrea spp",11.52,9.07,14.33
"Indo-Pacific","CRED-Astreopora spp",10.28,7.93,12.95
"Indo-Pacific","CRED-Branching hard coral",30.31,24.01,37.07
"Indo-Pacific","CRED-CCA growing on hard substrate",0.93,0.73,1.14
"Indo-Pacific","CRED-CCA growing on rubble",0.93,0.73,1.14
"Indo-Pacific","CRED-Columnar hard coral",37.69,30.13,45.38
"Indo-Pacific","CRED-Coscinaraea spp",4.32,3.46,5.27
"Indo-Pacific","CRED-Cyphastrea spp",7.99,6.6,9.54
"Indo-Pacific","CRED-Diploastrea spp",15.22,10.45,20.96
"Indo-Pacific","CRED-Echinophyllia spp",7.39,6.29,8.62
"Indo-Pacific","CRED-Echinopora spp",11.9,9.68,14.47
"Indo-Pacific","CRED-Encrusting hard coral",9.31,7.31,11.6
"Indo-Pacific","CRED-Euphyllia spp",18.7,15.19,22.7
"Indo-Pacific","CRED-Favia spp",8.18,6.22,10.46
"Indo-Pacific","CRED-Favites spp",6.68,5.15,8.42
"Indo-Pacific","CRED-Foliose hard coral",11.46,9.68,13.45
"Indo-Pacific","CRED-Free-living hard coral",26.14,21.98,30.77
"Indo-Pacific","CRED-Fungia spp",24.45,21.11,28.1
"Indo-Pacific","CRED-Galaxea spp",2.68,2.35,3.09
"Indo-Pacific","CRED-Goniastrea spp",17.26,15.46,19.08
"Indo-Pacific","CRED-Goniopora/Alveopora spp",6.24,5.16,7.48
"Indo-Pacific","CRED-Hard substrate",0,0,0
"Indo-Pacific","CRED-Hydnophora spp",19.25,15.72,23.18
"Indo-Pacific","CRED-Isopora spp",9.81,8.09,11.7
"Indo-Pacific","CRED-Leptastrea spp",14.51,11.3,18.13
"Indo-Pacific","CRED-Leptoria spp",3.96,3.14,4.91
"Indo-Pacific","CRED-Leptoseris spp",6.7,5.58,8
"Indo-Pacific","CRED-Lobophyllia spp",10.53,7.81,13.66
"Indo-Pacific","CRED-Massive hard coral",20.76,17.37,24.33
